path,task_name,import_ok,has_attr,task_info_ok,inherits_taskbase,supported_os,tags,note
plugins/check/tasks/obproxy/parameter/enable_ob_protocol_v2_with_client.py,obproxy.parameter.enable_ob_protocol_v2_with_client,True,True,True,True,,USES_OBPROXY_PARAMETER_API,
plugins/check/tasks/obproxy/parameter/request_buffer_length.py,obproxy.parameter.request_buffer_length,True,True,True,True,,USES_OBPROXY_PARAMETER_API,
plugins/check/tasks/obproxy/parameter/work_thread_num.py,obproxy.parameter.work_thread_num,True,True,True,True,,USES_OBPROXY_PARAMETER_API,
plugins/check/tasks/obproxy/version/bad_version.py,obproxy.version.bad_version,True,True,True,True,,,
plugins/check/tasks/obproxy/version/old_version.py,obproxy.version.old_version,True,True,True,True,,,
plugins/check/tasks/observer/archive/archive_continuous_error.py,observer.archive.archive_continuous_error,True,True,True,True,,,
plugins/check/tasks/observer/bugs/bug_182.py,observer.bugs.bug_182,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/bugs/bug_385.py,observer.bugs.bug_385,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/bugs/bug_469.py,observer.bugs.bug_469,True,True,True,True,,,
plugins/check/tasks/observer/bugs/cgroup_kernel_bad_version.py,observer.bugs.cgroup_kernel_bad_version,True,True,True,True,"[""linux""]",exec_cmd_format_call|exec_cmd_has_home_path|exec_cmd_has_path|declared_linux_only|USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/clog/clog_disk_full.py,observer.clog.clog_disk_full,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/clog/clog_hang.py,observer.clog.clog_hang,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/auto_increment_cache_size.py,observer.cluster.auto_increment_cache_size,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/autoinc_cache_refresh_interval.py,observer.cluster.autoinc_cache_refresh_interval,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/cgroup.py,observer.cluster.cgroup,True,True,True,True,"[""linux""]",exec_cmd_format_call|exec_cmd_has_path|declared_linux_only|USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/clog_sync_time_warn_threshold.py,observer.cluster.clog_sync_time_warn_threshold,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/core_file_find.py,observer.cluster.core_file_find,True,True,True,True,,,
plugins/check/tasks/observer/cluster/cpu_quota_concurrency.py,observer.cluster.cpu_quota_concurrency,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/data_path_settings.py,observer.cluster.data_path_settings,True,True,True,True,,,
plugins/check/tasks/observer/cluster/datafile_next.py,observer.cluster.datafile_next,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/deadlocks.py,observer.cluster.deadlocks,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/default_compress_func.py,observer.cluster.default_compress_func,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/enable_lock_priority.py,observer.cluster.enable_lock_priority,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/freeze_trigger_percentage.py,observer.cluster.freeze_trigger_percentage,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/global_indexes_too_much.py,observer.cluster.global_indexes_too_much,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/large_query_threshold.py,observer.cluster.large_query_threshold,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/logons_check.py,observer.cluster.logons_check,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/ls_number.py,observer.cluster.ls_number,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/major.py,observer.cluster.major,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/major_suspended.py,observer.cluster.major_suspended,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/memory_chunk_cache_size.py,observer.cluster.memory_chunk_cache_size,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/memory_limit_percentage.py,observer.cluster.memory_limit_percentage,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/memory_limit_vs_phy_mem.py,observer.cluster.memory_limit_vs_phy_mem,True,True,True,True,,maybe_linux_only_no_supported_os|USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/memstore_limit_percentage.py,observer.cluster.memstore_limit_percentage,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/memstore_usage.py,observer.cluster.memstore_usage,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/mod_too_large.py,observer.cluster.mod_too_large,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/no_leader.py,observer.cluster.no_leader,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/ob_enable_plan_cache_bad_version.py,observer.cluster.ob_enable_plan_cache_bad_version,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/ob_enable_prepared_statement.py,observer.cluster.ob_enable_prepared_statement,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/ob_query_timeout.py,observer.cluster.ob_query_timeout,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/observer_not_active.py,observer.cluster.observer_not_active,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/observer_port.py,observer.cluster.observer_port,True,True,True,True,,exec_cmd_format_call|USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/optimizer_better_inlist_costing_parmmeter.py,observer.cluster.optimizer_better_inlist_costing_parmmeter,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/part_trans_action_max.py,observer.cluster.part_trans_action_max,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/resource_limit_max_session_num.py,observer.cluster.resource_limit_max_session_num,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/server_permanent_offline_time.py,observer.cluster.server_permanent_offline_time,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/session_limit.py,observer.cluster.session_limit,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/sys_log_level.py,observer.cluster.sys_log_level,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/sys_obcon_health.py,observer.cluster.sys_obcon_health,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/syslog_io_bandwidth_limit.py,observer.cluster.syslog_io_bandwidth_limit,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/table_history_too_many.py,observer.cluster.table_history_too_many,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/task_opt_stat.py,observer.cluster.task_opt_stat,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/task_opt_stat_gather_fail.py,observer.cluster.task_opt_stat_gather_fail,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/tenant_500_memory_analysis.py,observer.cluster.tenant_500_memory_analysis,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/tenant_locks.py,observer.cluster.tenant_locks,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/tenant_memory_tablet_count.py,observer.cluster.tenant_memory_tablet_count,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/tenant_number.py,observer.cluster.tenant_number,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/trace_log_slow_query_watermark.py,observer.cluster.trace_log_slow_query_watermark,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/upgrade_finished.py,observer.cluster.upgrade_finished,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/upper_trans_version.py,observer.cluster.upper_trans_version,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cluster/zone_not_active.py,observer.cluster.zone_not_active,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/column_storage/tenant_parameters.py,observer.column_storage.tenant_parameters,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/cpu/oversold.py,observer.cpu.oversold,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/disk/clog_abnormal_file.py,observer.disk.clog_abnormal_file,True,True,True,True,,exec_cmd_format_call|exec_cmd_has_path,
plugins/check/tasks/observer/disk/data_disk_full.py,observer.disk.data_disk_full,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/disk/disk_full.py,observer.disk.disk_full,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/disk/disk_hole.py,observer.disk.disk_hole,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/disk/disk_iops.py,observer.disk.disk_iops,True,True,True,True,,USES_OB_CONNECTOR_SQL,
plugins/check/tasks/observer/disk/mount_disk_full.py,observer.disk.mount_disk_full,True,True,True,True,,,
plugins/check/tasks/observer/disk/sstable_abnormal_file.py,observer.disk.sstable_abnormal_file,True,True,True,True,,exec_cmd_format_call|exec_cmd_has_path,
plugins/check/tasks/observer/disk/xfs_repair.py,observer.disk.xfs_repair,True,True,True,True,,,
